"root","length_leafs","leafs"
"abl",15,"abl enabl inabl stabl unabl capabl disabl notabl probabl reliabl suitabl syllabl valuabl variabl establish"
"acc",20,"acc dacc nacc racc vacc accur accept access accord saccad acceler accentu account accumul accommod accumben accuraci accompani accomplish antisaccad"
"act",50,"act activ actor exact react tract action actual factor impact intact tactil attract charact coactiv contact deactiv extract factori hypoact intract practic reactiv syntact abstract artefact artifact contract distract fraction hyperact interact proactiv reaction subtract character hypoactiv olfactori overactiv satisfact counteract distractor hyperactiv refractori stereotact underactiv characteris vibrotactil characterist tractographi"
"add",5,"add addit addict address bladder"
"age",6,"age agenc agent stage imageri imageability"
"aid",2,"aid paid"
"aim",2,"aim claim"
"aip",1,"aip"
"air",8,"air fair pair impair unfair unimpair talairach questionnair"
"ale",7,"ale male alert scale valenc alexithymia contralesion"
"apo",2,"apo apolipoprotein"
"arm",7,"arm harm warm alarm harmon forearm pharmacolog"
"art",19,"art part heart start arteri partit startl articul cartoon compart partial partner artefact artifact artifici particip particular counterpart articulatori"
"asd",1,"asd"
"asl",1,"asl"
"atl",2,"atl atlas"
"axi",7,"axi axial maxim ataxia maxima apraxia maximum"
"bad",1,"bad"
"bar",2,"bar lobar"
"bas",7,"bas base basi basal basic baselin databas"
"bed",2,"bed embed"
"bmi",2,"bmi submit"
"box",2,"box toolbox"
"boy",1,"boy"
"bpd",1,"bpd"
"cap",6,"cap capac capit capabl capsul captur"
"car",12,"car card care carri scarc cardin cardiac caregiv carrier cartoon calcarin cardiovascular"
"cbf",2,"cbf rcbf"
"cbt",1,"cbt"
"cns",1,"cns"
"con",93,"con icon condit confer confid confin consid conson consum convey econom second conceiv concept concern concert conclud conclus concord concret concurr conduct confirm conform connect consequ conserv consist contact contain content context contigu conting continu contour control convent converg convers convert convolv concentr conceptu concomit configur conflict confound confront congenit conjoint conjunct consecut consider consolid constant constitu consumpt contamin contextu contract contrari contrast incongru reconcil uncondit unconsci congruenc congruent conscious consensus constitut constrain construct continuum contribut inconclus inconsist secondari wisconsin constraint contradict disconnect dysconnect contralater contributor controversi millisecond reconstruct contemporari contralesion interconnect contradictori"
"csf",1,"csf"
"cue",1,"cue"
"cut",5,"cut acut cutan execut consecut"
"dan",3,"dan danger guidanc"
"dat",7,"dat data updat caudat databas dataset foundat"
"dcm",1,"dcm"
"dmn",1,"dmn"
"dot",1,"dot"
"drd",1,"drd"
"dsm",1,"dsm"
"dti",1,"dti"
"ear",21,"ear bear fear hear near heard heart learn appear learnt linear search forearm learner pearson rehears unclear research disappear nonlinear searchlight"
"eat",18,"eat beat heat creat death great treat breath featur threat creativ greater repeat_ untreat creation greatest threaten treatment"
"eba",2,"eba debat"
"edg",2,"edg knowledg"
"eeg",1,"eeg"
"emg",1,"emg"
"epi",8,"epi depict episod epilept epilepsi epidemiolog epileptogen norepinephrin"
"erp",7,"erp excerpt underpin interplay interpret counterpart interperson"
"eye",1,"eye"
"fdg",1,"fdg"
"fdr",1,"fdr"
"fef",1,"fef"
"ffa",1,"ffa"
"fit",2,"fit benefit"
"fix",2,"fix fixat"
"fmr",2,"fmr fmri"
"fsl",1,"fsl"
"fwe",1,"fwe"
"gap",1,"gap"
"glm",1,"glm"
"gmv",1,"gmv"
"hcs",1,"hcs"
"hip",9,"hip hippocamp ownership hippocampi membership hippocampus relationship parahippocamp parahippocampus"
"hit",4,"hit white architectur cytoarchitecton"
"hmt",1,"hmt"
"hot",9,"hot shot dichot photon psychot dichotomi photograph antipsychot psychotherapi"
"hrf",1,"hrf"
"hub",1,"hub"
"iap",1,"iap"
"ica",2,"ica efficaci"
"ifc",1,"ifc"
"ifg",2,"ifg lifg"
"ifj",1,"ifj"
"ill",10,"ill fill will illus skill illumin illustr illusori millisecond oscillatori"
"ipc",1,"ipc"
"ipl",3,"ipl multipl principl"
"joy",2,"joy joystick"
"key",2,"key monkey"
"lag",1,"lag"
"led",2,"led knowledg"
"leg",3,"leg legal colleg"
"lie",6,"lie belief believ relief salienc salient"
"lip",3,"lip clip apolipoprotein"
"loc",14,"loc loci lock alloc block clock local locat locus veloc localis locomot allocentr locomotor"
"low",9,"low flow slow allow lower follow lowest slower shallow"
"ltm",1,"ltm"
"man",18,"man human manag mania manic bimanu demand german manner manual perman semant command manipul unimanu brodmann manifest nonhuman"
"map",2,"map mapp"
"mcc",2,"mcc amcc"
"mci",2,"mci amci"
"mdd",1,"mdd"
"meg",1,"meg"
"men",44,"men women dement dimens mental moment augment element putamen segment tegment argument dementia document judgment movement agreement decrement detriment dimension fundament implement increment judgement menstrual nondement phenomena recommend statement treatment complement elementari experiment instrument phenomenon supplement development environment phenomenolog complementari supplementari multidimension neurodevelopment presupplementari"
