"word","length"
"abl",3
"acc",3
"act",3
"add",3
"age",3
"aid",3
"aim",3
"aip",3
"air",3
"ale",3
"apo",3
"arm",3
"art",3
"asd",3
"asl",3
"atl",3
"axi",3
"bad",3
"bar",3
"bas",3
"bed",3
"bmi",3
"box",3
"boy",3
"bpd",3
"cap",3
"car",3
"cbf",3
"cbt",3
"cns",3
"con",3
"csf",3
"cue",3
"cut",3
"dan",3
"dat",3
"dcm",3
"dmn",3
"dot",3
"drd",3
"dsm",3
"dti",3
"ear",3
"eat",3
"eba",3
"edg",3
"eeg",3
"emg",3
"epi",3
"erp",3
"eye",3
"fdg",3
"fdr",3
"fef",3
"ffa",3
"fit",3
"fix",3
"fmr",3
"fsl",3
"fwe",3
"gap",3
"glm",3
"gmv",3
"hcs",3
"hip",3
"hit",3
"hmt",3
"hot",3
"hrf",3
"hub",3
"iap",3
"ica",3
"ifc",3
"ifg",3
"ifj",3
"ill",3
"ipc",3
"ipl",3
"joy",3
"key",3
"lag",3
"led",3
"leg",3
"lie",3
"lip",3
"loc",3
"low",3
"ltm",3
"man",3
"map",3
"mcc",3
"mci",3
"mdd",3
"meg",3
"men",3
"met",3
"mfc",3
"mfg",3
"mid",3
"mix",3
"mni",3
"mns",3
"mri",3
"mtg",3
"mtl",3
"new",3
"ocd",3
"odd",3
"ofa",3
"ofc",3
"pag",3
"par",3
"pay",3
"pca",3
"pcc",3
"pet",3
"pfc",3
"pls",3
"pmd",3
"pmv",3
"pon",3
"ppa",3
"ppc",3
"ppi",3
"pre",3
"rat",3
"red",3
"rem",3
"roi",3
"rsn",3
"rts",3
"run",3
"sad",3
"scr",3
"see",3
"sem",3
"set",3
"sex",3
"sfg",3
"sii",3
"sma",3
"smc",3
"smg",3
"snp",3
"soa",3
"spl",3
"spm",3
"srl",3
"stg",3
"stm",3
"stn",3
"sts",3
"sub",3
"sum",3
"svm",3
"tap",3
"tbi",3
"tic",3
"tie",3
"tip",3
"tle",3
"tms",3
"tom",3
"top",3
"tpj",3
"tri",3
"urg",3
"use",3
"val",3
"vbm",3
"vta",3
"way",3
"win",3
"abil",4
"abus",4
"acid",4
"acut",4
"adhd",4
"agre",4
"alff",4
"amcc",4
"amci",4
"amod",4
"angl",4
"anim",4
"ankl",4
"anti",4
"area",4
"argu",4
"aris",4
"atyp",4
"awak",4
"awar",4
"axon",4
"ball",4
"band",4
"bank",4
"base",4
"basi",4
"bdnf",4
"bear",4
"beat",4
"beta",4
"bias",4
"bind",4
"bing",4
"blue",4
"bodi",4
"bold",4
"born",4
"call",4
"card",4
"care",4
"caus",4
"cell",4
"clip",4
"clue",4
"code",4
"cogn",4
"coil",4
"cold",4
"comt",4
"cope",4
"copi",4
"cord",4
"core",4
"cost",4
"crus",4
"curv",4
"cycl",4
"dacc",4
"dark",4
"data",4
"deaf",4
"deal",4
"deep",4
"dens",4
"diet",4
"dose",4
"draw",4
"drop",4
"drug",4
"dual",4
"easi",4
"echo",4
"ecnp",4
"educ",4
"elev",4
"elus",4
"emot",4
"ensu",4
"evid",4
"evoc",4
"evok",4
"face",4
"fail",4
"fair",4
"fall",4
"fals",4
"fast",4
"fear",4
"feed",4
"feel",4
"fibr",4
"fill",4
"film",4
"find",4
"fine",4
"fire",4
"flow",4
"fmri",4
"foci",4
"fold",4
"font",4
"food",4
"foot",4
"forc",4
"form",4
"free",4
"gain",4
"gait",4
"game",4
"gate",4
"gaze",4
"gene",4
"genu",4
"girl",4
"give",4
"goal",4
"good",4
"gray",4
"grey",4
"grip",4
"grow",4
"guid",4
"gyri",4
"half",4
"hand",4
"hard",4
"harm",4
"head",4
"hear",4
"heat",4
"held",4
"help",4
"high",4
"hold",4
"host",4
"hour",4
"hous",4
"hypo",4
"icon",4
"idea",4
"imag",4
"imit",4
"isol",4
"issu",4
"item",4
"iter",4
"judg",4
"keep",4
"kept",4
"kind",4
"know",4
"lack",4
"last",4
"late",4
"lead",4
