"stem","words"
"activ","activate, activated, activates, activating, activation, activations, active, actively, activities, activity"
"anterior","anterior"
"area",""
"associ","associate, associated, associates, associating, association, associations, associative"
"cingul","cingulate, cingulated"
"compar","comparable, comparative, compare, compared, compares, comparing"
"complet","complete, completed, completely, completing, completion"
"condit","condition, conditional, conditioned, conditioning, conditions"
"context","context, contexts"
"control","control, controlled, controlling, controls"
"cortic","cortical, cortices"
"differ","differed, difference, differences, differing, differs"
"emiss","emission"
"frontal","frontal"
"gyrus","gyrus"
"identifi","identifiable, identified, identifies, identify, identifying"
"increas","increase, increased, increases, increasing, increasingly"
"inferior","inferior"
"initi","initial, initially, initiate, initiated, initiating, initiation"
"involv","involve, involved, involvement, involves, involving"
"left","left"
"middl","middle"
"normal","normal, normalization, normalized, normally"
"operculum","operculum"
"perform","perform, performance, performances, performed, performers, performing"
"pet","pet"
"positron","positron"
"read","read, reading"
"requir","require, required, requirement, requirements, requires, requiring"
"respons","response, responses, responsible, responsive, responsiveness, responsivity"
"sens","sense, senses"
"sentenc","sentence, sentences"
"side","sided"
"studi","studied, studies, study, studying"
"subject","subject, subjects"
"suppress","suppress, suppressed, suppressing, suppression"
"task","task, tasks"
"tempor","temporal, temporally"
"test","test, tested, testing, tests"
"tomographi","tomography"
"utilis",""
"verbal","verbal"
"word","word, words"
"affect","affect, affected, affecting, affective, affectively, affects"
"amount","amount, amounts"
"analysi","analysis"
"analyz","analyze, analyzed, analyzing"
"angl","angle"
"applic","applicability, application, applications"
"artifact","artifact, artifacts"
"assess","assess, assessed, assessing, assessment, assessments"
"base","base, based, bases"
"basi","basis"
"brain","brain, brains"
"clinic","clinical, clinically"
"comput","computation, computational, computations, compute, computed, computer, computing"
"correl","correlate, correlated, correlates, correlating, correlation, correlational, correlations"
"damag","damage, damaged"
"decreas","decrease, decreased, decreases, decreasing"
"demonstr","demonstrate, demonstrated, demonstrates, demonstrating, demonstration"
"describ","describe, described, describes, describing"
"direct","direct, directed, directing, direction, directional, directions, directly"
"diseas","disease, diseases"
"disord","disorder, disordered, disorders"
"emerg","emerge, emerged, emergence, emerges, emerging"
"excel","excellent"
"experiment","experimental, experimentally, experimenter"
"extract","extract, extracted, extracting, extraction"
"form","form, formed, forming, forms"
"found","found"
"help","help, helpful, helps"
"human","human, humans"
"imag","image, imaged, images, imaging"
"indirect","indirect, indirectly"
"inform","inform, information, informative, informed"
"interpret","interpret, interpretation, interpretations, interpreted, interpreting"
"investig","investigate, investigated, investigates, investigating, investigation, investigations, investigators"
"knowledg","knowledge"
"link","link, linked, linking, links"
"loss","loss, losses"
"magnet","magnet, magnetic, magnetization"
"marker","marker, markers"
"measur","measure, measured, measurement, measurements, measures, measuring"
"medic","medical, medicated, medication, medications"
"method","method"
"minim","minimal, minimally, minimize, minimizing"
"mri","mri"
"multipl","multiple, multiplication"
"neurodegen","neurodegenerative"
"neurolog","neurological, neurologically"
"neuron","neuron, neuronal, neurons"
"neuropatholog","neuropathological, neuropathology"
"potenti","potential, potentially, potentials"
"precis","precise, precisely, precision"
"present","presentation, presentations, presently"
"process","process, processed, processes, processing"
"provid","provide, provided, provides, providing"
"quantifi","quantified, quantify, quantifying"
"quantit","quantitative, quantitatively"
"rapid","rapid, rapidly"
"ration","rational"
"region","region, regional, regionally, regions"
"relat","relate, related, relates, relating, relation, relational, relations, relative, relatively"
"relationship","relationship, relationships"
"resolut","resolution"
"reson","resonance"
"result","result, resulted, resulting, results"
"sampl","sample, samples, sampling"
"shown","shown"
"spectroscopi","spectroscopy"
"spin","spin"
"techniqu","technique, techniques"
"time","time, times, timing"
"tissu","tissue, tissues"
"tradit","traditional, traditionally"
"unlik","unlike, unlikely"
"use","useful, usefulness, using"
"util","utility, utilization, utilize, utilized, utilizes, utilizing"
"vivo","vivo"
"account","account, accounted, accounting, accounts"
"acid","acid"
"anteromedi","anteromedial"
"bilater","bilateral, bilaterally"
"blood","blood"
"central","central, centrality, centrally"
"cerebr","cerebral"
"conduct","conduct, conductance, conducted, conducting"
"correspond","correspond, corresponded, correspondence, corresponding, corresponds"
"cortex","cortex"
"detect","detect, detectable, detected, detecting, detection, detects"
"elev","elevated"
"epilepsi","epilepsy"
"examin","examination, examinations, examine, examined, examines, examining"
"exhibit","exhibit, exhibited, exhibiting, exhibits"
"experi","experience, experiences, experiment, experiments"
"flow","flow"
"function_",""
"furthermor","furthermore"
"group",""
"gustatori","gustatory"
"hemispher","hemisphere, hemispheres, hemispheric"
"lobe","lobe, lobes"
"locat","locate, located, location, locations"
"observ","observable, observation, observational, observations, observe, observed, observer, observers, observing"
"oper","operate, operates, operating, operation, operations"
"orbitofront","orbitofrontal"
"order",""
"patient","patient, patients"
"point",""
"preferenti","preferential, preferentially"
"primari","primary"
"rcbf","rcbf"
"recognit","recognition"
"resect","resection"
"sensat","sensation, sensations"
"similar","similar, similarities, similarity, similarly"
"somatosensori","somatosensory"
"stimul","stimulant, stimulate, stimulated, stimulating, stimulation, stimulations"
"structur","structural, structurally, structure, structured, structures"
"suggest","suggest, suggested, suggesting, suggestion, suggestions, suggestive, suggests"
"tast","taste"
"threshold","threshold, thresholds"
"treatment","treatment, treatments"
"water","water"
"allow","allow, allowed, allowing, allows"
"appropri","appropriate, appropriately"
"awar","aware, awareness"
"blind","blind, blindness"
"carri","carried, carries, carry, carrying"
"chanc","chance"
"colliculus","colliculus"
"comparison","comparison, comparisons"
"conscious","conscious, consciously, consciousness"
"discrimin","discriminant, discriminate, discriminated, discriminating, discrimination, discriminative"
"dorsolater","dorsolateral"
"especi","especially"
"event","event, events"
"feel","feel, feeling, feelings"
"follow","follow, followed, following, follows"
"generat","generate, generated, generates, generating, generation, generative, generators"
"good",""
"happen",""
"hemifield","hemifield, hemifields"
"intact","intact"
"level","level, levels"
"match","match, matched, matches, matching"
"medial","medial"
"mediat","mediate, mediated, mediates, mediating, mediation, mediator"
"mode","mode, modes"
"monkey","monkey, monkeys"
"movement","movement, movements"
"neocortex","neocortex"
"onset","onset"
"orbit","orbital"
"parallel","parallel, paralleled"
"paramet","parameter, parameters"
"pathway","pathway, pathways"
"pattern","pattern, patterns"
"possibl","possibilities, possibility, possibly"
"prefront","prefrontal"
"previous","previous, previously"
"rais","raise, raised, raises, raising"
"report","report, reported, reporting, reports"
"residu","residual"
"reveal","reveal, revealed, revealing, reveals"
"shift","shift, shifted, shifting, shifts"
"site","site, sites"
"stimulus","stimulus"
"striat","striate"
"subcort","subcortical"
"superior","superior, superiority"
"transient","transient, transiently"
"unawar","unaware"
"unilater","unilateral"
"vision","vision"
"visual","visual, visualization, visualize, visually"
"yield","yield, yielded, yielding, yields"
"anatom","anatomic, anatomical, anatomically"
"answer","answer, answers"
"appli","applied, applies, apply, applying"
"array","array, arrays"
"design","design, designed, designs"
"dimension","dimensional"
"discuss","discuss, discussed, discussion"
"effici","efficiency, efficient, efficiently"
"estim","estimate, estimated, estimates, estimating, estimation"
"exampl","example, examples"
"frequent","frequent, frequently"
"improv","improve, improved, improvement, improvements, improves, improving"
"limit","limit, limitation, limitations, limited, limiting, limits"
"offer","offer, offering, offers"
"organ","organization, organized, organizing"
"problem",""
"question","question, questions"
"rang","range, ranged, ranging"
"scientif","scientific"
"size","size, sizes"
"solv","solve, solved, solving"
"spatial","spatial, spatially"
"typic","typical, typically"
"volum","volume, volumes"
"wide","wide, widely"
"auditori","auditory"
"concurr","concurrent, concurrently"
"degre","degree, degrees"
"dual","dual"
"field","field, fields"
"hypothesi","hypothesis"
"indic","indicate, indicated, indicates, indicating, indication, indicative, indicator, indicators"
"interf","interfered, interfering"
"interfer","interfere, interference, interferes"
"larger","larger"
"memori","memories, memory"
"overlap","overlap, overlapped, overlapping, overlaps"
"part","partly"
"reaction","reaction, reactions"
"separ","separable, separate, separated, separately, separating, separation"
"short","short"
"signific","significance, significant, significantly"
"simultan","simultaneous, simultaneously"
"singl","single"
"stm","stm"
"term","term, termed, terms"
"absenc","absence"
"addit","addition, additional, additionally, additive"
"altern","alternate, alternated, alternately, alternating, alternative, alternatively, alternatives"
"argument","argument, arguments"
"attribut","attributable, attribute, attributed, attributes, attribution, attributions"
"compet","compete, competence, competing"
"counter","counter"
"demand","demand, demanded, demanding, demands"
"depend","depend, depended, dependence, dependencies, dependency, dependent, depending, depends"
"drive","drive, drives, driving"
"effect","effect, effective, effectively, effectiveness, effects"
"evid","evidence, evident"
"find","finding, findings"
"fundament","fundamental, fundamentally"
"ifg","ifg"
"independ","independence, independent, independently"
"neuroimag","neuroimage, neuroimaging"
"retriev","retrieval, retrieve, retrieved, retrieving"
"select","select, selected, selecting, selection, selective, selectively, selectivity"
"semant","semantic, semantically, semantics"
"signal","signal, signaled, signaling, signals"
"sole","solely"
"subserv","subserve, subserved, subserves, subserving"
"vari","varied, varies, vary, varying"
"variat","variation, variations"
"abnorm","abnormal, abnormalities, abnormality, abnormally"
"age","age, aged, ageing, ages, aging"
"appear","appear, appearance, appeared, appearing, appears"
"attent","attention, attentional, attentive"
"batteri","battery"
"complex","complex, complexity"
"comprehens","comprehension, comprehensive"
"conceptu","conceptual, conceptualized, conceptually"
"consecut","consecutive"
"consider","considerable, considerably, consideration, considerations"
"contribut","contribute, contributed, contributes, contributing, contribution, contributions"
"declin","decline, declined, declines"
"deficit","deficit, deficits"
"depress","depressed, depression, depressive"
"depriv","deprivation, deprived"
"educ","education, educational"
"except","except, exception"
"fatigu","fatigue"
"gather",""
"heterogen","heterogeneity, heterogeneous"
"impair","impair, impaired, impairing, impairment, impairments, impairs"
"longitudin","longitudinal, longitudinally"
"matter","matter"
"motor","motor"
"natur","natural, naturally, nature"
"neural","neural, neurally"
"neurocognit","neurocognitive"
"neuropsycholog","neuropsychological, neuropsychology"
"object","object, objective, objectively, objectives, objects"
"overal","overall"
"pain","pain, painful"
"popul","population, populations"
"repres","represent, representative, represented, representing, represents"
"set","set, sets, setting, settings"
"sleep","sleep"
"slow","slow, slowed, slowing"
"specif","specific, specifically, specification, specificity"
"subset","subset, subsets"
"substrat","substrate, substrates"
"symptom","symptom, symptoms"
"syndrom","syndrome, syndromes"
"white","white"
"amygdala","amygdala, amygdalae"
"arous","arousal, arousing"
"backward","backward"
"bear",""
"bold","bold"
"coincid",""
"compos","composed"
"conjunct","conjunction"
"consist","consist, consisted, consistency, consistent, consistently, consisting, consists"
"determin","determinant, determinants, determine, determined, determines, determining"
"differenti","differential, differentially, differentiate, differentiated, differentiates, differentiating, differentiation"
"dissoci","dissociable, dissociate, dissociated, dissociating, dissociation, dissociations, dissociative"
"emot","emotion, emotional, emotionality, emotionally, emotions"
"explicit","explicit, explicitly"
"express","express, expressed, expressing, expression, expressions, expressive"
"extern","external, externally"
"face","facing"
"facial","facial"
"fear","fear, fearful"
"fmri","fmri"
"happi","happiness, happy"
"healthi","healthy"
"mask","mask, masked, masking, masks"
"neutral","neutral"
"notion","notion"
"offset","offset"
"oxygen","oxygen, oxygenation"
"pictur","picture, pictures"
"procedur","procedural, procedure, procedures"
"respond","respond, responded, responders, responding, responds"
"role","role, roles"
"salienc","salience, saliency"
"see","seeing"
"seen","seen"
"step","step, steps"
"stimuli","stimuli"
"substantia","substantia"
"territori",""
"valenc","valence, valenced"
"valu","value, values"
"view","view, viewed, viewing, views"
"acquisit","acquisition, acquisitions"
"advanc","advance, advanced, advances, advancing"
"button","button"
"chang","change, changed, changes, changing"
"classifi","classified, classifier, classifiers, classify, classifying"
"correct","correct, corrected, correcting, correction, corrections, correctly"
"cours","course, courses"
"declar","declarative"
"dlpfc","dlpfc"
"error","error, errors"
"high","highly"
"individu","individual, individualized, individually, individuals"
"intens","intense, intensities, intensity, intensive"
"intermedi","intermediate"
"intrapariet","intraparietal"
"learn","learn, learned, learning"
"pair","pair, paired, pairs"
"pariet","parietal"
"pre","pre"
"precuneus","precuneus"
"press","press, pressed, presses, pressing"
"presupplementari","presupplementary"
