,pubmed,title,authors,year,journal
0,9106283,The functional anatomy of verbal initiation and suppression using the Hayling Test.,"Nathaniel-James DA, Fletcher P, Frith CD",1997,Neuropsychologia
1,9177231,Quantitative neuropathology by high resolution magic angle spinning proton magnetic resonance spectroscopy.,"Cheng LL, Ma MJ, Becerra L, Ptak T, Tracey I, Lackner A, Gonzalez RG",1997,Proceedings of the National Academy of Sciences of the United States of America
2,9185551,A role for the right anterior temporal lobe in taste quality recognition.,"Small DM, Jones-Gotman M, Zatorre RJ, Petrides M, Evans AC",1997,The Journal of neuroscience : the official journal of the Society for Neuroscience
3,9256495,Pattern of neuronal activity associated with conscious and unconscious processing of visual signals.,"Sahraie A, Weiskrantz L, Barbur JL, Simmons A, Williams SC, Brammer MJ",1997,Proceedings of the National Academy of Sciences of the United States of America
4,9288642,Improving stereological estimates for the volume of structures identified in three-dimensional arrays of spatial data.,"Barta PE, Dhingra L, Royall R, Schwartz E",1997,Journal of neuroscience methods
5,9395845,Interference between two concurrent tasks is associated with activation of overlapping fields in the cortex.,"Klingberg T, Roland PE",1997,Brain research. Cognitive brain research
6,9405692,Role of left inferior prefrontal cortex in retrieval of semantic knowledge: a reevaluation.,"Thompson-Schill SL, D'Esposito M, Aguirre GK, Farah MJ",1997,Proceedings of the National Academy of Sciences of the United States of America
7,9408106,"Eosinophilia-myalgia syndrome: selective cognitive impairment, longitudinal effects, and neuroimaging findings.","Armstrong C, Lewis T, D'Esposito M, Freundlich B",1997,"Journal of neurology, neurosurgery, and psychiatry"
8,9412517,Masked presentations of emotional facial expressions modulate amygdala activity without explicit knowledge.,"Whalen PJ, Rauch SL, Etcoff NL, McInerney SC, Lee MB, Jenike MA",1998,The Journal of neuroscience : the official journal of the Society for Neuroscience
9,9465007,Transition of brain activation from frontal to parietal areas in visuomotor sequence learning.,"Sakai K, Hikosaka O, Miyauchi S, Takino R, Sasaki Y, Putz B",1998,The Journal of neuroscience : the official journal of the Society for Neuroscience
10,9491989,Functional-anatomic correlates of object priming in humans revealed by rapid presentation event-related fMRI.,"Buckner RL, Goodman J, Burock M, Rotte M, Koutstaal W, Schacter D, Rosen B, Dale AM",1998,Neuron
11,9501235,Functional anatomy of musical processing in listeners with absolute pitch and relative pitch.,"Zatorre RJ, Perry DW, Beckett CA, Westbury CF, Evans AC",1998,Proceedings of the National Academy of Sciences of the United States of America
