"pubmed","title","authors","year","journal","V1","V2","V3","V4","V5","FiAssign","color"
9106283,"The functional anatomy of verbal initiation and suppression using the Hayling Test.","Nathaniel-James DA, Fletcher P, Frith CD",1997,"Neuropsychologia",0.266256334274239,0.219046323775119,0.432398271359262,-0.28689318145054,-0.213444818377405,"1","#F8766D"
9177231,"Quantitative neuropathology by high resolution magic angle spinning proton magnetic resonance spectroscopy.","Cheng LL, Ma MJ, Becerra L, Ptak T, Tracey I, Lackner A, Gonzalez RG",1997,"Proceedings of the National Academy of Sciences of the United States of America",-0.619891016943303,0.480211551927913,-0.148051420952202,0.154881897932653,0.301558765068428,"2","#B79F00"
9185551,"A role for the right anterior temporal lobe in taste quality recognition.","Small DM, Jones-Gotman M, Zatorre RJ, Petrides M, Evans AC",1997,"The Journal of neuroscience : the official journal of the Society for Neuroscience",-0.304458485492567,0.18786970133824,-0.407854584036309,-0.323397832113961,-0.189320906766938,"3","#00BA38"
9256495,"Pattern of neuronal activity associated with conscious and unconscious processing of visual signals.","Sahraie A, Weiskrantz L, Barbur JL, Simmons A, Williams SC, Brammer MJ",1997,"Proceedings of the National Academy of Sciences of the United States of America",0.185660362522243,0.140188363901624,-0.363796070306977,0.146814514079195,0.0715632381873606,"4","#00BFC4"
9288642,"Improving stereological estimates for the volume of structures identified in three-dimensional arrays of spatial data.","Barta PE, Dhingra L, Royall R, Schwartz E",1997,"Journal of neuroscience methods",-0.361554491519585,0.373745842166894,-0.00340548926422844,0.153809390997986,0.296504777099898,"2","#B79F00"
9395845,"Interference between two concurrent tasks is associated with activation of overlapping fields in the cortex.","Klingberg T, Roland PE",1997,"Brain research. Cognitive brain research",0.290229208616489,0.149217371046808,-0.00720072050318582,0.538897110840919,0.0394868857647916,"4","#00BFC4"
9405692,"Role of left inferior prefrontal cortex in retrieval of semantic knowledge: a reevaluation.","Thompson-Schill SL, D'Esposito M, Aguirre GK, Farah MJ",1997,"Proceedings of the National Academy of Sciences of the United States of America",0.634753782594074,0.127592452741062,0.681320274587893,0.145866568220306,0.0248625683583185,"1","#F8766D"
9408106,"Eosinophilia-myalgia syndrome: selective cognitive impairment, longitudinal effects, and neuroimaging findings.","Armstrong C, Lewis T, D'Esposito M, Freundlich B",1997,"Journal of neurology, neurosurgery, and psychiatry",-0.635797524570937,0.294686495193459,0.332561525798819,0.00114541824731972,0.152623921663887,"2","#B79F00"
9412517,"Masked presentations of emotional facial expressions modulate amygdala activity without explicit knowledge.","Whalen PJ, Rauch SL, Etcoff NL, McInerney SC, Lee MB, Jenike MA",1998,"The Journal of neuroscience : the official journal of the Society for Neuroscience",0.159570006580808,-0.954459300189272,-0.0989495934437373,-0.677957229254685,-0.307205886097213,"5","#619CFF"
9465007,"Transition of brain activation from frontal to parietal areas in visuomotor sequence learning.","Sakai K, Hikosaka O, Miyauchi S, Takino R, Sasaki Y, Putz B",1998,"The Journal of neuroscience : the official journal of the Society for Neuroscience",0.240239759317619,0.113861224381976,-0.118040806203006,0.489577899708843,0.0913839330533662,"4","#00BFC4"
9491989,"Functional-anatomic correlates of object priming in humans revealed by rapid presentation event-related fMRI.","Buckner RL, Goodman J, Burock M, Rotte M, Koutstaal W, Schacter D, Rosen B, Dale AM",1998,"Neuron",0.319412017865039,0.141328018643933,-0.0924666694246467,0.200472545628817,-0.0443584836160687,"4","#00BFC4"
9501235,"Functional anatomy of musical processing in listeners with absolute pitch and relative pitch.","Zatorre RJ, Perry DW, Beckett CA, Westbury CF, Evans AC",1998,"Proceedings of the National Academy of Sciences of the United States of America",0.200868794487392,0.316960407609102,0.126632004274664,-0.102478242454435,-0.243014323203923,"1","#F8766D"
9593960,"Functional magnetic resonance imaging of category-specific cortical activation: evidence for semantic maps.","Spitzer M, Kischka U, Guckel F, Bellemann ME, Kammer T, Seyyedi S, Weisbrod M, Schwartz A, Brix G",1998,"Brain research. Cognitive brain research",0.262982898076662,0.371710378406152,0.276518888438596,-0.00261387837064635,0.00307920837849251,"1","#F8766D"
